PropertyHintId,CountryIds,MessageSource,DefaultErrorMessage,ErrorRegEx,ErrorCode,ErrorMessage
cardNumber,,fromRegex,Invalid card number,\s,invalid_card_number_has_spaces,No spaces are allowed in the card number
,,fromErrorCode,Invalid card number,,required_field_empty,Card number is a required field
cardNumberAmex,,fromRegex,Invalid card number,\s,invalid_card_number_has_spaces,No spaces are allowed in the card number
,,fromErrorCode,Invalid card number,,required_field_empty,Card number is a required field
cardNumberCup,,fromRegex,Invalid card number,\s,invalid_card_number_has_spaces,No spaces are allowed in the card number
,,fromErrorCode,Invalid card number,,required_field_empty,Card number is a required field
cardholderName,,fromErrorCode,Incorrectly formatted cardholder name,,required_field_empty,Cardholder name is a required field
,,fromRegex,Incorrectly formatted cardholder name,^\s*$,required_field_empty,Cardholder name is a required field
directDebitAchAccountholderName,,fromErrorCode,Incorrectly formatted name on account,,required_field_empty,Name on account is a required field
,,fromRegex,Incorrectly formatted name on account,^\s*$,required_field_empty,Name on account is a required field
directDebitSepaAccountholderName,,fromErrorCode,Incorrectly formatted name on account,,required_field_empty,Name on account is a required field
,,fromRegex,Incorrectly formatted name on account,^\s*$,required_field_empty,Name on account is a required field
expiryMonth,,fromErrorCode,Expiration month is a required field,,required_field_empty,Expiration month is a required field
expiryYear,,fromErrorCode,Expiration year is a required field,,required_field_empty,Expiration year is a required field
cvv,,fromErrorCode,Invalid card verification code,,required_field_empty,CVV is a required field
cvvCup,,fromErrorCode,Invalid card verification code,,required_field_empty,CV/N2 is a required field
cvv3,,fromErrorCode,Invalid card verification code,,required_field_empty,CVV is a required field
cvv4,,fromErrorCode,Invalid card verification code,,required_field_empty,CVV is a required field
phone,,fromErrorCode,Incorrectly formatted phone number,,required_field_empty,Phone number is required.
cupPhoneNumber,,fromRegex,Mobile number must be 11 digits,^.{11}$,invalid_phone_number,Check the phone number.
,,fromErrorCode,,,required_field_empty,The phone number associated with your bank account is a required field
non_sim_mobi_phone_operator,,fromErrorCode,Mobile operator is a required field,,required_field_empty,Mobile operator is a required field
non_sim_mobi_phone_number,,fromErrorCode,Incorrectly formatted phone number,,required_field_empty,Your phone number is a required field
addressline1,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Address line 1 is a required field
addressline2,,fromErrorCode,Incorrectly formatted address,,required_field_empty,Address line 2 is a required field
addressCity,,fromErrorCode,Incorrectly formatted city,,required_field_empty,City is a required field
